BWUD0rwZ77,C1EX6MCfHJ,Dy4qBSiIXz,Goot4hgwjs,O1XxGAw2Or,QRY7pzbvw7,T7YMnaqSlZ,adjustChair,beacon,createdAt,dCKRWJP4Yt,date,dayPortion,deck,dv95IK5ZQI,excit,extrovert,findSpace,generation,hour,installation,loBwcSTbPi,lookingFor_0,lookingFor_1,manager,nqZm1YqSog,numConf,pP9Upzhz1x,position,position2,privateArea,project,standingHeight,tech,time,type,uery7ntiPI,weekday,zDRgT5xGDM
0.8,,11-20 years,Gen X (~ between 1961 - 1980),Workplace Effectiveness,No,,No,[object Object],5/14/14 14:59,Individual,5/14/14,11am - 3pm,oNjFzUQwqN,N/A,0.89,0.74,N/A,Gen X (~ between 1961 - 1980),14,03021adb516edbdeb8cada3095bb2b51a094da8783ea0013fadc2e61308288c1,N/A,,,Individual,N/A,Not applicable,No,,Workplace Effectiveness,N/A,Em0B2UIoWq,No,0.8,11-20 years,deck,0.89,Thursday,0.74
0.76,PD Operations,6-10 years,Gen Y / Millennium (~ after 1981),,No,Product Development,No,[object Object],5/14/14 13:14,Individual,5/14/14,11am - 3pm,oNjFzUQwqN,0,0.79,0,N/A,Gen Y / Millennium (~ after 1981),13,0142764f046b511e6943ba0c5f875be666df150ab7d6053dfb253a74cc7afb15,N/A,,,Individual,N/A,0,No,Product Development,PD Operations,N/A,Em0B2UIoWq,No,0.76,6-10 years,deck,0.79,Friday,0
0,PD Regulatory,More than 20 years,Gen X (~ between 1961 - 1980),,No,Product Development,No,[object Object],5/14/14 7:36,Manager,5/14/14,Before 11am,oNjFzUQwqN,N/A,0.87,0.79,N/A,Gen X (~ between 1961 - 1980),7,6910ea182c99b2f7d83ec557448e768e8a5bfb40ef83c3ff681ca86ed168a717,N/A,,,Manager,N/A,Not applicable,No,Product Development,PD Regulatory,N/A,Em0B2UIoWq,No,0,More than 20 years,deck,0.87,Thursday,0.79
0.32,PD Regulatory,11-20 years,Gen X (~ between 1961 - 1980),,,Product Development,,[object Object],5/14/14 6:47,Manager,5/14/14,Before 11am,oNjFzUQwqN,N/A,0.51,0.61,N/A,Gen X (~ between 1961 - 1980),6,8bd44741401530490ee62007b9f16c5d15b73fae3ae9f61b47dcd1a5b2e8db92,N/A,,,Manager,N/A,Not applicable,,Product Development,PD Regulatory,N/A,Em0B2UIoWq,,0.32,11-20 years,deck,0.51,Monday,0.61
0.58,PD Biometrics,6-10 years,Gen X (~ between 1961 - 1980),,,Product Development,,[object Object],5/14/14 6:33,Individual,5/14/14,Before 11am,oNjFzUQwqN,1,0,0,N/A,Gen X (~ between 1961 - 1980),6,8bd335c325576240ff0f229e303529b6fd156cec8bec0f0258e51de618d849f9,N/A,,,Individual,N/A,1,,Product Development,PD Biometrics,N/A,Em0B2UIoWq,,0.58,6-10 years,deck,0,Tuesday,0
0.17,PD Regulatory,6-10 years,Gen X (~ between 1961 - 1980),,No,Product Development,Yes,[object Object],5/14/14 4:29,Individual,5/14/14,Before 11am,oNjFzUQwqN,0,0.24,0.37,Yes,Gen X (~ between 1961 - 1980),4,7d3be81e208ca9259038c02fb81f2b4d4999272b16ccb3859da8a0699b4a5a94,N/A,,,Individual,Yes,0,Yes,Product Development,PD Regulatory,N/A,Em0B2UIoWq,No,0.17,6-10 years,deck,0.24,Friday,0.37
0.85,PD Regulatory,1-2 years,Gen X (~ between 1961 - 1980),,Yes,Product Development,Yes,[object Object],5/14/14 0:59,Individual,5/14/14,Before 11am,oNjFzUQwqN,0,0.62,-0.51,Yes,Gen X (~ between 1961 - 1980),0,5c2c2e62d4d05025470ca16efe80d190c37f24f966f22c3af18e15c903cfb084,N/A,,,Individual,Yes,0,Yes,Product Development,PD Regulatory,N/A,Em0B2UIoWq,Yes,0.85,1-2 years,deck,0.62,Friday,-0.51
-0.31,PD Regulatory,Less than one year,Gen X (~ between 1961 - 1980),,No,Product Development,Yes,[object Object],5/14/14 0:53,Individual,5/14/14,Before 11am,oNjFzUQwqN,4-Jan,0,0,Yes,Gen X (~ between 1961 - 1980),0,736be46b3fad23f681bd7cc32bcbf30fc81cad788b545762d8bccdf288a4f38b,N/A,,,Individual,Yes,3,Yes,Product Development,PD Regulatory,N/A,Em0B2UIoWq,No,-0.31,Less than one year,deck,0,Thursday,0
0.53,,1-2 years,Gen X (~ between 1961 - 1980),Workplace Effectiveness,No,,Yes,[object Object],5/14/14 0:32,Individual,5/14/14,Before 11am,oNjFzUQwqN,0,0.23,-0.74,N/A,Gen X (~ between 1961 - 1980),0,fab5e80389b7c511b75fc4c0571a02b2f3632a2b87f96708fc6b9ae004b44829,N/A,,,Individual,N/A,0,Yes,,Workplace Effectiveness,N/A,Em0B2UIoWq,No,0.53,1-2 years,deck,0.23,Friday,-0.74
0.2,PD Regulatory,Less than one year,Gen Y / Millennium (~ after 1981),,No,Product Development,No,[object Object],5/14/14 0:18,Individual,5/14/14,Before 11am,oNjFzUQwqN,4-Jan,0.4,-0.27,Yes,Gen Y / Millennium (~ after 1981),0,0b1874a32352f6befbd67ca118618a8876cf266e1ddb4000fb87f7fc28a457ec,N/A,,,Individual,Yes,3,No,Product Development,PD Regulatory,N/A,Em0B2UIoWq,No,0.2,Less than one year,deck,0.4,Thursday,-0.27
0.35,,More than 20 years,Gen X (~ between 1961 - 1980),,Yes,,Yes,[object Object],5/14/14 0:10,Individual,5/14/14,Before 11am,oNjFzUQwqN,1,-0.43,-0.65,In another building,Gen X (~ between 1961 - 1980),0,38669c4f9dd8bd58a550c5a851a7a92f8124c2857c8a7ce2e7d7dc616daa6d3e,N/A,,,Individual,"No, I was able to find it in a different neighborhood",1,Yes,,,N/A,Em0B2UIoWq,Yes,0.35,More than 20 years,deck,-0.43,Monday,-0.65
0.37,PD Regulatory,6-10 years,Gen X (~ between 1961 - 1980),,No,Product Development,No,[object Object],5/13/14 23:56,Individual,5/13/14,After 3pm,oNjFzUQwqN,N/A,-0.35,-0.57,N/A,Gen X (~ between 1961 - 1980),23,f000cfefc2c5f176f4b9b036315306bfe2c2af36f8ded1b058a9292b1c0ed07b,N/A,,,Individual,N/A,Not applicable,No,Product Development,PD Regulatory,N/A,Em0B2UIoWq,No,0.37,6-10 years,deck,-0.35,Monday,-0.57
0.14,,11-20 years,Baby Boomer (~ between 1946 - 1960),"Partnering Function: HR, Finance, Government Affairs, Procurement",No,,No,[object Object],5/13/14 23:50,Individual,5/13/14,After 3pm,oNjFzUQwqN,N/A,0.27,0.12,N/A,Baby Boomer (~ between 1946 - 1960),23,71dbd8530a37767806d60b818dfbdabcabf39e1813cfaab952bfc3c70e71575b,N/A,,,Individual,N/A,Not applicable,No,,"Partnering Function: HR, Finance, Government Affairs, Procurement",N/A,Em0B2UIoWq,No,0.14,11-20 years,deck,0.27,Friday,0.12
