car_name, model, mpg,  odometer, miles, gallons, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude
Scion iQ,Scion iQ,24.25,9374,170,7.01,3.779,80,3/14/14,3/13/14 20:31,,,0,0,,
Scion iQ,Scion iQ,30.27,9204,205,6.77,3.969,50,3/7/14,3/6/14 22:10,,,0,0,,
Scion iQ,Scion iQ,30.01,8999,211,7.03,3.849,85,3/2/14,3/1/14 16:32,,,0,0,,
Scion iQ,Scion iQ,30.33,8788,173,5.7,3.559,60,2/26/14,2/26/14 0:02,,,0,0,,
Scion iQ,Scion iQ,28.9,8615,174,6.02,3.719,90,2/22/14,2/22/14 14:31,,,0,0,,
Scion iQ,Scion iQ,27.63,8441,179,6.48,3.859,45,2/15/14,2/15/14 13:39,,,0,0,,
Scion iQ,Scion iQ,24.04,8262,145,6.03,3.399,70,2/10/14,2/10/14 9:31,,,0,0,,
Scion iQ,Scion iQ,30.32,8117,190,6.27,3.379,50,2/5/14,2/4/14 22:35,,,0,0,,
Scion iQ,Scion iQ,0,7927,0,5.67,3.339,75,2/1/14,1/31/14 22:15,,,1,0,,
Scion iQ,Scion iQ,34.57,7513,208,6.02,3.579,40,1/23/14,1/22/14 19:51,,,0,0,,
Scion iQ,Scion iQ,27.44,7305,185,6.74,3.519,50,1/18/14,1/18/14 13:30,,,0,0,,
Scion iQ,Scion iQ,34.45,7120,194,5.63,3.599,65,12/23/13,12/22/13 20:20,,,0,0,,
Scion iQ,Scion iQ,33.63,6926,240,7.14,3.479,65,12/19/13,12/19/13 10:49,,,0,0,,
Scion iQ,Scion iQ,26.54,6686,183,6.9,3.439,70,12/15/13,12/15/13 1:12,,,0,0,,
Scion iQ,Scion iQ,32.17,6503,242,7.52,3.439,60,12/10/13,12/9/13 23:00,,,0,0,,
Scion iQ,Scion iQ,31.08,6261,175,5.63,3.439,45,12/4/13,12/3/13 22:13,,,0,0,,
Scion iQ,Scion iQ,31.64,6086,201,6.35,3.759,60,11/29/13,11/28/13 23:01,,,0,0,,
Scion iQ,Scion iQ,33.92,5885,187,5.51,3.599,55,11/24/13,11/23/13 23:18,,,0,0,,
Scion iQ,Scion iQ,30.86,5698,220,7.13,3.639,60,11/18/13,11/17/13 20:44,,,0,0,,
Scion iQ,Scion iQ,32.1,5478,254,7.91,3.439,50,11/13/13,11/13/13 11:49,,,0,0,,
Scion iQ,Scion iQ,32.84,5224,223,6.79,3.499,50,11/9/13,11/8/13 21:17,,,0,0,,
Scion iQ,Scion iQ,32.31,5001,210,6.5,3.899,40,11/5/13,11/4/13 22:54,,,0,0,,
Scion iQ,Scion iQ,27.98,4791,186,6.65,3.889,65,11/1/13,11/1/13 1:28,,,0,0,,
Scion iQ,Scion iQ,33.3,4605,215,6.46,3.659,50,10/25/13,10/24/13 23:07,,,0,0,,
Scion iQ,Scion iQ,34.45,4390,250,7.26,3.699,0,10/22/13,10/21/13 21:38,,,0,0,,
Scion iQ,Scion iQ,30.9,4140,208,6.73,3.739,40,10/18/13,10/18/13 10:30,,,0,0,,
Scion iQ,Scion iQ,36,3932,233,6.47,3.699,35,10/12/13,10/12/13 11:22,,,0,0,,
Scion iQ,Scion iQ,31.79,3699,161,5.07,3.919,45,10/9/13,10/8/13 22:17,,,0,0,,
Scion iQ,Scion iQ,32.36,3538,204,6.31,3.999,80,10/5/13,10/4/13 20:18,,,0,0,,
Scion iQ,Scion iQ,33.95,3334,212,6.24,3.799,75,10/2/13,10/1/13 21:18,,,0,0,,
Scion iQ,Scion iQ,34.06,3122,210,6.17,3.799,75,9/27/13,9/26/13 22:33,,,0,0,,
Scion iQ,Scion iQ,33.88,2912,210,6.2,3.939,45,9/23/13,9/22/13 17:22,,,0,0,,
Scion iQ,Scion iQ,31.55,2702,234,7.42,3.899,75,9/20/13,9/19/13 21:46,,,0,0,,
Scion iQ,Scion iQ,0,2468,217,6.54,3.959,65,9/16/13,9/15/13 19:09,,,0,0,,
Scion iQ,Scion iQ,0,2251,205,5.87,3.899,50,9/11/13,9/11/13 11:25,,,0,1,,
Scion iQ,Scion iQ,30.79,2046,221,7.18,4.039,40,9/7/13,9/7/13 2:43,,,0,0,,
Scion iQ,Scion iQ,34.98,1825,200,5.72,3.639,65,9/4/13,9/3/13 19:03,,,0,0,,
Scion iQ,Scion iQ,35.57,1625,234,6.58,3.759,70,8/29/13,8/28/13 19:55,,,0,0,,
Scion iQ,Scion iQ,32.06,1391,199,6.21,3.639,60,8/24/13,8/24/13 0:28,,,0,0,,
Scion iQ,Scion iQ,35.38,1192,216,6.11,3.829,30,8/21/13,8/20/13 19:01,,,0,0,,
Scion iQ,Scion iQ,36.12,976,212,5.87,3.899,50,8/16/13,8/15/13 16:24,,,0,0,,
Scion iQ,Scion iQ,34.98,764,265,7.58,3.839,40,8/9/13,8/8/13 18:53,,,0,0,,
Scion iQ,Scion iQ,33.2,499,203,6.11,3.99,30,8/3/13,8/3/13 14:35,,,0,0,,
Scion iQ,Scion iQ,32.59,296,208,6.38,3.939,20,7/31/13,7/30/13 21:36,,,0,0,,
Scion iQ,Scion iQ,0,88,0,8.5,0,35,7/27/13,7/27/13 1:31,,,0,0,,
